accession	Sequence_length	Sequence_name	taxid	kingdom	phylum	class	order	family	genus	species	subspecies	strain	Nucleic Acid 	Host
FJ445119.1	7135	Human rhinovirus 19 strain ATCC VR-1129, complete genome	185895	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Rhinovirus A	rhinovirus A19	rhinovirus A19	RNA	Human
FJ445120.1	7163	Human rhinovirus 20 strain ATCC VR-1130, complete genome	147675	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Rhinovirus A	rhinovirus A20	rhinovirus A20	RNA	Human
FJ445121.1	7134	Human rhinovirus 21 strain ATCC VR-1131, complete genome	44128	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Rhinovirus A	rhinovirus A21	rhinovirus A21	RNA	Human
FJ445122.1	7129	Human rhinovirus 22 strain ATCC VR-1132, complete genome	185896	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Rhinovirus A	rhinovirus A22	rhinovirus A22	RNA	Human
FJ445123.1	7126	Human rhinovirus 25 strain ATCC VR-1135, complete genome	185898	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Rhinovirus A	rhinovirus A25	rhinovirus A25	RNA	Human
FJ445124.1	7211	Human rhinovirus 26 strain ATCC VR-1136, complete genome	185899	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Rhinovirus B	rhinovirus B26	rhinovirus B26	RNA	Human
FJ445125.1	7123	Human rhinovirus 29 strain ATCC VR-1139, complete genome	44129	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Rhinovirus A	rhinovirus A29	rhinovirus A29	RNA	Human
FJ445126.1	7131	Human rhinovirus 31 strain ATCC VR-506, complete genome	185902	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Rhinovirus A	rhinovirus A31	rhinovirus A31	RNA	Human
FJ445127.1	7133	Human rhinovirus 32 strain ATCC VR-1142, complete genome	185903	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Rhinovirus A	rhinovirus A32	rhinovirus A32	RNA	Human
FJ445128.1	7133	Human rhinovirus 33 strain ATCC VR-330, complete genome	185904	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Rhinovirus A	rhinovirus A33	rhinovirus A33	RNA	Human
FJ445129.1	7138	Human rhinovirus 40 strain ATCC VR-341, complete genome	185908	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Rhinovirus A	rhinovirus A40	rhinovirus A40	RNA	Human
FJ445130.1	7223	Human rhinovirus 42 strain ATCC VR-338, complete genome	147683	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Rhinovirus B	rhinovirus B42	rhinovirus B42	RNA	Human
FJ445131.1	7129	Human rhinovirus 43 strain ATCC VR-1153, complete genome	167321	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Rhinovirus A	rhinovirus A43	rhinovirus A43	RNA	Human
FJ445132.1	7114	Human rhinovirus 45 strain ATCC VR-1155, complete genome	147676	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Rhinovirus A	rhinovirus A45	rhinovirus A45	RNA	Human
FJ445133.1	7132	Human rhinovirus 47 strain ATCC VR-1157, complete genome	185911	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Rhinovirus A	rhinovirus A47	rhinovirus A47	RNA	Human
FJ445134.1	7109	Human rhinovirus 49 isolate F04, complete genome	44131	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Rhinovirus A	rhinovirus A49	rhinovirus A49	RNA	Human
FJ445135.1	7118	Human rhinovirus 50 strain ATCC VR-517, complete genome	44132	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Rhinovirus A	rhinovirus A50	rhinovirus A50	RNA	Human
FJ445136.1	7152	Human rhinovirus 51 strain ATCC VR-1161, complete genome	185912	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Rhinovirus A	rhinovirus A51	rhinovirus A51	RNA	Human
FJ445137.1	7216	Human rhinovirus 52 isolate F10, complete genome	147677	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Rhinovirus B	rhinovirus B52	rhinovirus B52	RNA	Human
FJ445138.1	7134	Human rhinovirus 54 strain ATCC VR-1164, complete genome	185914	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Rhinovirus A	rhinovirus A54	rhinovirus A54	RNA	Human
FJ445140.1	7136	Human rhinovirus 56 strain ATCC VR-1166, complete genome	185916	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Rhinovirus A	rhinovirus A56	rhinovirus A56	RNA	Human
FJ445141.1	7134	Human rhinovirus 57 isolate fs ship 1-hrv-57, complete genome	185917	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Rhinovirus A	rhinovirus A57	rhinovirus A57	RNA	Human
FJ445142.1	7140	Human rhinovirus 58 strain ATCC VR-1168, complete genome	44133	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Rhinovirus A	rhinovirus A58	rhinovirus A58	RNA	Human
FJ445143.1	7139	Human rhinovirus 60 strain ATCC VR-1473, complete genome	185919	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Rhinovirus A	rhinovirus A60	rhinovirus A60	RNA	Human
FJ445144.1	7139	Human rhinovirus 61 strain ATCC VR-1171, complete genome	185920	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Rhinovirus A	rhinovirus A61	rhinovirus A61	RNA	Human
FJ445145.1	7131	Human rhinovirus 62 strain ATCC VR-1172, complete genome	44134	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Rhinovirus A	rhinovirus A62	rhinovirus A62	RNA	Human
FJ445146.1	7141	Human rhinovirus 63 strain ATCC VR-1173, complete genome	185921	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Rhinovirus A	rhinovirus A63	rhinovirus A63	RNA	Human
FJ445147.1	7162	Human rhinovirus 65 strain ATCC VR-1175, complete genome	44135	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Rhinovirus A	rhinovirus A65	rhinovirus A65	RNA	Human
FJ445148.1	7139	Human rhinovirus 66 strain ATCC VR-1176, complete genome	185923	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Rhinovirus A	rhinovirus A66	rhinovirus A66	RNA	Human
FJ445149.1	7135	Human rhinovirus 67 strain ATCC VR-1177, complete genome	185924	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Rhinovirus A	rhinovirus A67	rhinovirus A67	RNA	Human
FJ445150.1	7164	Human rhinovirus 68 strain ATCC VR-1178, complete genome	185925	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Rhinovirus A	rhinovirus A68	rhinovirus A68	RNA	Human
FJ445151.1	7211	Human rhinovirus 69 strain ATCC VR-1179, complete genome	147678	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Rhinovirus B	Rhinovirus B69	Rhinovirus B69	RNA	Human
FJ445152.1	7161	Human rhinovirus 71 strain ATCC VR-1181, complete genome	185927	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Rhinovirus A	rhinovirus A71	rhinovirus A71	RNA	Human
FJ445153.1	7216	Human rhinovirus 72 strain ATCC VR-1182, complete genome	44137	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Rhinovirus B	rhinovirus B72	rhinovirus B72	RNA	Human
FJ445154.1	7136	Human rhinovirus 77 strain ATCC VR-1187, complete genome	185932	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Rhinovirus A	rhinovirus A77	rhinovirus A77	RNA	Human
FJ445155.1	7224	Human rhinovirus 79 strain ATCC VR-1189, complete genome	185933	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Rhinovirus B	rhinovirus B79	rhinovirus B79	RNA	Human
FJ445156.1	7138	Human rhinovirus 80 strain ATCC VR-1190, complete genome	185934	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Rhinovirus A	rhinovirus A80	rhinovirus A80	RNA	Human
FJ445157.1	7116	Human rhinovirus 81 strain ATCC VR-1191, complete genome	185935	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Rhinovirus A	Rhinovirus A81	Rhinovirus A81	RNA	Human
FJ445160.1	7123	Human rhinovirus 82 strain ATCC VR-1192, complete genome	167322	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Rhinovirus A	rhinovirus A82	rhinovirus A82	RNA	Human
FJ445161.1	7230	Human rhinovirus 83 strain ATCC VR-1193, complete genome	185936	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Rhinovirus B	rhinovirus B83	rhinovirus B83	RNA	Human
FJ445162.1	7201	Human rhinovirus 84 strain ATCC VR-1194, complete genome	167328	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Rhinovirus B	rhinovirus B84	rhinovirus B84	RNA	Human
FJ445163.1	7140	Human rhinovirus 85 strain ATCC VR-1195, complete genome	185937	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Rhinovirus A	rhinovirus A85	rhinovirus A85	RNA	Human
FJ445164.1	7213	Human rhinovirus 86 strain ATCC VR-1196, complete genome	185938	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Rhinovirus B	rhinovirus B86	rhinovirus B86	RNA	Human
FJ445167.1	7124	Human rhinovirus 90 strain ATCC VR-1291, complete genome	185940	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Rhinovirus A	rhinovirus A90	rhinovirus A90	RNA	Human
FJ445168.1	7221	Human rhinovirus 91 strain ATCC VR-1292, complete genome	167325	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Rhinovirus B	rhinovirus B91	rhinovirus B91	RNA	Human
FJ445169.1	7233	Human rhinovirus 92 strain ATCC VR-1293, complete genome	167326	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Rhinovirus B	rhinovirus B92	rhinovirus B92	RNA	Human
FJ445170.1	7110	Human rhinovirus 95 strain ATCC VR-1301, complete genome	185942	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Rhinovirus A	Human rhinovirus A95	Human rhinovirus A95	RNA	Human
FJ445171.1	7134	Human rhinovirus 96 strain ATCC VR-1296, complete genome	185943	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Rhinovirus A	rhinovirus A96	rhinovirus A96	RNA	Human
FJ445172.1	7207	Human rhinovirus 97 strain ATCC VR-1297, complete genome	167330	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Rhinovirus B	rhinovirus B97	rhinovirus B97	RNA	Human
FJ445173.1	7133	Human rhinovirus 98 strain ATCC VR-1298, complete genome	185944	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Rhinovirus A	rhinovirus A98	rhinovirus A98	RNA	Human
FJ445174.1	7208	Human rhinovirus 99 strain ATCC VR-1299, complete genome	185945	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Rhinovirus B	rhinovirus B99	rhinovirus B99	RNA	Human
FJ445175.1	7140	Human rhinovirus 100 strain ATCC VR-1300, complete genome	185946	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Rhinovirus A	rhinovirus A100	rhinovirus A100	RNA	Human
FJ445176.1	7146	Human rhinovirus 7 strain ATCC VR-1117, complete genome	44136	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Rhinovirus A	rhinovirus A7	rhinovirus A7	RNA	Human
FJ445177.1	7132	Human rhinovirus 9 strain ATCC VR-489, complete genome	185891	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Rhinovirus A	rhinovirus A9	rhinovirus A9	RNA	Human
FJ445178.1	7137	Human rhinovirus 10 strain ATCC VR-1120, complete genome	185892	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Rhinovirus A	rhinovirus A10	rhinovirus A10	RNA	Human
FJ445179.1	7093	Human rhinovirus 30 strain ATCC VR-1140, complete genome	185901	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Rhinovirus A	rhinovirus A30	rhinovirus A30	RNA	Human
FJ445180.1	7136	Human rhinovirus 38 strain ATCC VR-1148, complete genome	185906	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Rhinovirus A	rhinovirus A38	rhinovirus A38	RNA	Human
FJ445181.1	7129	Human rhinovirus 64 strain ATCC VR-1174, complete genome	185922	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Rhinovirus A	rhinovirus A64	rhinovirus A64	RNA	Human
FJ445182.1	7128	Human rhinovirus 76 strain ATCC VR-1186, complete genome	185931	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Rhinovirus A	rhinovirus A76	rhinovirus A76	RNA	Human
FJ445183.1	7145	Human rhinovirus 78 strain ATCC VR-1188, complete genome	147685	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Rhinovirus A	rhinovirus A78	rhinovirus A78	RNA	Human
FJ445184.1	7152	Human rhinovirus 89 strain ATCC VR-1199, complete genome	12132	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Rhinovirus A	rhinovirus A89	rhinovirus A89	RNA	Human
FJ445185.1	7132	Human rhinovirus 94 strain ATCC VR-1295, complete genome	185941	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Rhinovirus A	rhinovirus A94	rhinovirus A94	RNA	Human
FJ445186.1	7217	Human rhinovirus 27 strain ATCC VR-1137, complete genome	185900	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Rhinovirus B	rhinovirus B27	rhinovirus B27	RNA	Human
FJ445187.1	7224	Human rhinovirus 35 strain ATCC VR-1145, complete genome	167329	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Rhinovirus B	rhinovirus B35	rhinovirus B35	RNA	Human
FJ445188.1	7216	Human rhinovirus 52 strain ATCC VR-1162, complete genome	147677	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Rhinovirus B	rhinovirus B52	rhinovirus B52	RNA	Human
FJ445189.1	7119	Human rhinovirus 34 strain ATCC VR-1144, complete genome	185905	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Rhinovirus A	rhinovirus A34	rhinovirus A34	RNA	Human
FJ445190.1	7132	Human rhinovirus 24 strain ATCC VR-1134, complete genome	185897	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Rhinovirus A	rhinovirus A24	rhinovirus A24	RNA	Human
FJ446719.1	7383	Murine norovirus 4 strain S18, complete genome	351049	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	Norwalk virus	Murine norovirus 4	Murine norovirus 4	RNA	Animal
FJ446720.1	7384	Murine norovirus 3 strain K4, complete genome	351048	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	Norwalk virus	Murine norovirus 3	Murine norovirus 3	RNA	Animal
FJ459582.1	2140	California sea lion anellovirus, complete genome	1218490	Viruses	unclassified Viruses phylum	unclassified Viruses class	unclassified Viruses order	Anelloviridae	Sigmatorquevirus	Torque teno pinniped virus 5	Torque teno zalophus virus 1	Torque teno zalophus virus 1	DNA	Animal
FJ462431.1	9475	Hepatitis C virus isolate QC139, complete genome	11103	Viruses	Kitrinoviricota	Flasuviricetes	Amarillovirales	Flaviviridae	Hepacivirus	Hepacivirus C	unclassified Hepacivirus C subspecies/strain	unclassified Hepacivirus C strain	RNA	Human
FJ462432.1	9435	Hepatitis C virus isolate QC193, complete genome	11103	Viruses	Kitrinoviricota	Flasuviricetes	Amarillovirales	Flaviviridae	Hepacivirus	Hepacivirus C	unclassified Hepacivirus C subspecies/strain	unclassified Hepacivirus C strain	RNA	Human
FJ462433.1	9425	Hepatitis C virus isolate QC249, complete genome	11103	Viruses	Kitrinoviricota	Flasuviricetes	Amarillovirales	Flaviviridae	Hepacivirus	Hepacivirus C	unclassified Hepacivirus C subspecies/strain	unclassified Hepacivirus C strain	RNA	Human
FJ462434.1	9433	Hepatitis C virus isolate QC262, complete genome	11103	Viruses	Kitrinoviricota	Flasuviricetes	Amarillovirales	Flaviviridae	Hepacivirus	Hepacivirus C	unclassified Hepacivirus C subspecies/strain	unclassified Hepacivirus C strain	RNA	Human
FJ462435.1	9440	Hepatitis C virus isolate QC264, complete genome	11103	Viruses	Kitrinoviricota	Flasuviricetes	Amarillovirales	Flaviviridae	Hepacivirus	Hepacivirus C	unclassified Hepacivirus C subspecies/strain	unclassified Hepacivirus C strain	RNA	Human
FJ462436.1	9468	Hepatitis C virus isolate QC381, complete genome	11103	Viruses	Kitrinoviricota	Flasuviricetes	Amarillovirales	Flaviviridae	Hepacivirus	Hepacivirus C	unclassified Hepacivirus C subspecies/strain	unclassified Hepacivirus C strain	RNA	Human
FJ462437.1	9421	Hepatitis C virus isolate QC382, complete genome	11103	Viruses	Kitrinoviricota	Flasuviricetes	Amarillovirales	Flaviviridae	Hepacivirus	Hepacivirus C	unclassified Hepacivirus C subspecies/strain	unclassified Hepacivirus C strain	RNA	Human
FJ462439.1	9440	Hepatitis C virus isolate QC384, complete genome	11103	Viruses	Kitrinoviricota	Flasuviricetes	Amarillovirales	Flaviviridae	Hepacivirus	Hepacivirus C	unclassified Hepacivirus C subspecies/strain	unclassified Hepacivirus C strain	RNA	Human
FJ462440.1	9422	Hepatitis C virus isolate QC93, complete genome	11103	Viruses	Kitrinoviricota	Flasuviricetes	Amarillovirales	Flaviviridae	Hepacivirus	Hepacivirus C	unclassified Hepacivirus C subspecies/strain	unclassified Hepacivirus C strain	RNA	Human
FJ462441.1	9435	Hepatitis C virus isolate QC97, complete genome	11103	Viruses	Kitrinoviricota	Flasuviricetes	Amarillovirales	Flaviviridae	Hepacivirus	Hepacivirus C	unclassified Hepacivirus C subspecies/strain	unclassified Hepacivirus C strain	RNA	Human
FJ463615.1	7627	Saffold virus 5 isolate Pak5003 polyprotein (gp1) gene, partial cds; and L* protein (L*) gene, complete cds	2779853	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Cardiovirus	Cardiovirus D	Saffold virus 5	Saffold virus 5	RNA	Human
FJ463617.1	7410	Saffold virus 6 isolate Pak6572 polyprotein (gp1) gene, partial cds; and L* protein (L*) gene, complete cds	2779854	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Cardiovirus	Cardiovirus D	Saffold virus 6	Saffold virus 6	RNA	Human
FJ492742.1	7955	Canine papillomavirus 7 isolate Edinburgh, complete genome	2759772	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Taupapillomavirus	Taupapillomavirus 1	Canis familiaris papillomavirus 7	Canis familiaris papillomavirus 7	DNA	Animal
FJ492743.1	7810	Canine papillomavirus 5 isolate Birkenfeld, complete genome	658422	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Chipapillomavirus	Chipapillomavirus 1	Canis familiaris papillomavirus 5	Canis familiaris papillomavirus 5	DNA	Animal
FJ492744.1	8242	Canine papillomavirus 6 isolate Zurich, complete genome	1513269	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Lambdapapillomavirus	Lambdapapillomavirus 3	Canis familiaris papillomavirus 6	Canis familiaris papillomavirus 6	DNA	Animal
FJ495126.1	3302	Rotavirus A strain RVA/Antelope-wt/ZAF/RC-18-08/G6P[14] structural protein VP1 gene, complete cds	28875	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	unclassified Rotavirus A subspecies/strain	unclassified Rotavirus A strain	RNA	Animal
FJ495127.1	2687	Rotavirus A strain RVA/Antelope-wt/ZAF/RC-18-08/G6P[14] structural protein VP2 gene, complete cds	28875	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	unclassified Rotavirus A subspecies/strain	unclassified Rotavirus A strain	RNA	Animal
FJ495128.1	2591	Rotavirus A strain RVA/Antelope-wt/ZAF/RC-18-08/G6P[14] structural protein VP3 gene, complete cds	28875	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	unclassified Rotavirus A subspecies/strain	unclassified Rotavirus A strain	RNA	Animal
FJ495129.1	2361	Rotavirus A strain RVA/Antelope-wt/ZAF/RC-18-08/G6P[14] structural protein VP4 gene, complete cds	28875	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	unclassified Rotavirus A subspecies/strain	unclassified Rotavirus A strain	RNA	Animal
